DATETIME,ACCOUNT NUMBER,TYPE,USAGE UNIT,USAGE
2024-01-31,1416200000,Electric,kWh,26.69
2024-02-29,1416200000,Electric,kWh,25.12
2024-03-31,1416200000,Electric,kWh,31.28
2024-04-30,1416200000,Electric,kWh,34.19
2024-05-31,1416200000,Electric,kWh,26.34
2024-06-30,1416200000,Electric,kWh,35.98
2024-07-31,1416200000,Electric,kWh,28.35
2024-08-31,1416200000,Electric,kWh,23.85
2024-09-30,1416200000,Electric,kWh,25.22
2024-10-31,1416200000,Electric,kWh,26.37
2024-11-30,1416200000,Electric,kWh,23.09
2024-12-31,1416200000,Electric,kWh,0.0
2024-01-31,1533871000,Electric,kWh,384.9
2024-02-29,1533871000,Electric,kWh,438.91
2024-03-31,1533871000,Electric,kWh,315.41
2024-04-30,1533871000,Electric,kWh,393.26
2024-05-31,1533871000,Electric,kWh,360.06
2024-06-30,1533871000,Electric,kWh,261.34
2024-07-31,1533871000,Electric,kWh,622.22
2024-08-31,1533871000,Electric,kWh,526.35
2024-09-30,1533871000,Electric,kWh,275.13
2024-10-31,1533871000,Electric,kWh,221.54
2024-11-30,1533871000,Electric,kWh,208.49
2024-12-31,1533871000,Electric,kWh,200.66
2024-01-31,1071750000,Electric,kWh,1474.62
2024-02-29,1071750000,Electric,kWh,1613.39
2024-03-31,1071750000,Electric,kWh,1271.19
2024-04-30,1071750000,Electric,kWh,1335.89
2024-05-31,1071750000,Electric,kWh,1097.7
2024-06-30,1071750000,Electric,kWh,754.46
2024-07-31,1071750000,Electric,kWh,856.83
2024-08-31,1071750000,Electric,kWh,879.1
2024-09-30,1071750000,Electric,kWh,1195.59
2024-10-31,1071750000,Electric,kWh,1068.59
2024-11-30,1071750000,Electric,kWh,1069.47
2024-12-31,1071750000,Electric,kWh,1136.51
